epoch,binary_accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_binary_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.936607301235199,1125296.0,368246.0,0.156737819314003,0.1979040950536728,0.655961275100708,0.38421329855918884,0.6881353259086609,21364352.0,702116.0,0.9384904503822327,74243.0,21098.0,0.15168863534927368,0.22735343873500824,0.6838256120681763,0.38065803050994873,0.7088605761528015,1409028.0,45631.0
1,0.9385690689086914,1098318.0,348999.0,0.15133872628211975,0.22753877937793732,0.6762811541557312,0.39897626638412476,0.7121668457984924,21383588.0,729094.0,0.9388229846954346,72754.0,22070.0,0.1503530889749527,0.23357652127742767,0.6810232400894165,0.39307940006256104,0.7126984000205994,1408056.0,47120.0
2,0.9391468167304993,1088667.0,345052.0,0.14984434843063354,0.23612384498119354,0.6816267371177673,0.40425750613212585,0.7226063013076782,21387530.0,738745.0,0.9395491480827332,70785.0,22914.0,0.14918074011802673,0.23954764008522034,0.681763231754303,0.4095049798488617,0.7151381969451904,1407212.0,49089.0
3,0.9395274519920349,1081114.0,343596.0,0.14900793135166168,0.24022886157035828,0.6847436428070068,0.40839067101478577,0.7288432717323303,21389000.0,746298.0,0.939670205116272,69535.0,23976.0,0.14880426228046417,0.24256350100040436,0.6773733496665955,0.41993260383605957,0.7221684455871582,1406150.0,50339.0
4,0.9397073984146118,1077253.0,343221.0,0.1484530121088028,0.24573343992233276,0.6860917806625366,0.41050347685813904,0.7315890192985535,21389360.0,750159.0,0.9398267269134521,68778.0,24492.0,0.14859803020954132,0.2459980696439743,0.6759803295135498,0.42624756693840027,0.7287676930427551,1405634.0,51096.0
5,0.9399149417877197,1072183.0,343405.0,0.14793753623962402,0.24919761717319489,0.6874254941940308,0.41327789425849915,0.7336205244064331,21389172.0,755229.0,0.9398666620254517,68994.0,24213.0,0.14870981872081757,0.24367745220661163,0.6775598526000977,0.42444565892219543,0.7196509838104248,1405913.0,50880.0
6,0.9400242567062378,1069372.0,343647.0,0.1475931704044342,0.2520171105861664,0.6880720257759094,0.41481614112854004,0.7355160117149353,21388936.0,758040.0,0.9398898482322693,68487.0,24684.0,0.14848901331424713,0.2452050745487213,0.6755136847496033,0.42867511510849,0.7215113639831543,1405442.0,51387.0
7,0.9401878118515015,1065765.0,343395.0,0.14716386795043945,0.2557274103164673,0.6892471313476562,0.4167899787425995,0.7379000186920166,21389184.0,761647.0,0.9400168657302856,68328.0,24645.0,0.14821554720401764,0.2480192482471466,0.6765366196632385,0.43000149726867676,0.7284535765647888,1405481.0,51546.0
8,0.9403325915336609,1063093.0,342675.0,0.1468641459941864,0.25682857632637024,0.6904454827308655,0.4182521402835846,0.7391188144683838,21389912.0,764319.0,0.9399760961532593,68871.0,24167.0,0.14854249358177185,0.2467568814754486,0.678502082824707,0.4254717528820038,0.7322654128074646,1405959.0,51003.0
9,0.9404171109199524,1060652.0,343121.0,0.14658939838409424,0.2606099843978882,0.6908488273620605,0.4195879101753235,0.7419925928115845,21389480.0,766760.0,0.9400917887687683,70586.0,22273.0,0.14831358194351196,0.24688299000263214,0.6887550354003906,0.4111650586128235,0.7199611067771912,1407853.0,49288.0
10,0.9405226111412048,1058728.0,342563.0,0.1463063657283783,0.26227325201034546,0.6917309761047363,0.420640766620636,0.7435393929481506,21390024.0,768684.0,0.9400478005409241,67406.0,25520.0,0.14821583032608032,0.24674169719219208,0.6727701425552368,0.43769291043281555,0.7213253974914551,1404606.0,52468.0
11,0.9405871033668518,1057685.0,342065.0,0.14610786736011505,0.26338493824005127,0.6923300623893738,0.4212115406990051,0.7437683939933777,21390532.0,769727.0,0.9399847388267517,68686.0,24338.0,0.1482405811548233,0.24824343621730804,0.6777533292770386,0.4270150363445282,0.7307484745979309,1405788.0,51188.0
12,0.9406914710998535,1054973.0,342344.0,0.14588895440101624,0.2654595673084259,0.6929052472114563,0.4226956069469452,0.7456106543540955,21390240.0,772439.0,0.940136194229126,70054.0,22735.0,0.14815622568130493,0.2500573992729187,0.6866515278816223,0.41560304164886475,0.7282394766807556,1407391.0,49820.0
13,0.9407878518104553,1053097.0,341950.0,0.1456334888935089,0.26720482110977173,0.6936659216880798,0.42372217774391174,0.7499468326568604,21390620.0,774315.0,0.9402164220809937,71534.0,21132.0,0.1482471227645874,0.2465706169605255,0.6958199143409729,0.40325674414634705,0.7156112194061279,1408994.0,48340.0
14,0.9407878518104553,1053097.0,341950.0,0.1456334888935089,0.26720482110977173,0.6936659216880798,0.42372217774391174,0.7499468326568604,21390620.0,774315.0,0.9402164220809937,71534.0,21132.0,0.1482471227645874,0.2465706169605255,0.6958199143409729,0.40325674414634705,0.7156112194061279,1408994.0,48340.0
